7仔	7仔 🏪
AB型血	AB型血 🆎️️
A型血	A型血 🅰️️
BB	BB 👶🏻️ 👼🏻️
BB機	BB機 📟️
BP機	BP機 📟️
B型血	B型血 🅱️️
Call機	Call機 📟️
DNA	DNA 🧬
ET	ET 👽️
Gel甲	Gel甲 💅🏻️
M	M Ⓜ️️
Miss	Miss 👩🏻‍🏫
O嘴	O嘴 😮 😯
O型血	O型血 🅾️️
Polo裇	Polo裇 👕
T裇	T裇 👕
call我	call我 🤙
cap帽	cap帽 🧢
hang機	hang機 👾
〇	〇 0️⃣
一	一 1️⃣ ☝️️️
一人	一人 👤️ 👤️
一個人	一個人 👤️
一家三口	一家三口 👨‍👧‍👦 👨‍👩‍👦 👨‍👩‍👧 👩‍👧‍👦
一家人	一家人 👨‍👦 👨‍👧 👨‍👧‍👦 👨‍👩‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧 👩‍👦 👩‍👧 👩‍👧‍👦
一家四口	一家四口 👨‍👩‍👦‍👦 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧
一束花	一束花 💐
一滴水	一滴水 💧️
一班人	一班人 👥️
一男一女	一男一女 👫🏻️
一疊書	一疊書 📚️
一百分	一百分 💯️
一紮花	一紮花 💐
一羣人	一羣人 👥️
一群人	一群人 👥️
一見鍾情	一見鍾情 💘
一點	一點 🕐
一點半	一點半 🕜️
一齊	一齊 🧑🏻‍🤝‍🧑🏻
七	七 7️⃣
七仔	七仔 🏪
七夕	七夕 🎋
七夕樹	七夕樹 🎋
七星瓢蟲	七星瓢蟲 🐞
七點	七點 🕖
七點半	七點半 🕢️
三	三 3️⃣
三叉戟	三叉戟 🔱
三明治	三明治 🥪
三葉草	三葉草 ☘️
三角尺	三角尺 📐️
三角形	三角形 ▶️️ ◀️️
三角旗	三角旗 🚩
三點	三點 🕒
三點半	三點半 🕞️
三點式	三點式 👙️
上	上 ☝️️️ ⬆️️ 👆️ 🔼
上一首	上一首 ⏮️
上下	上下 ↕️️
上升	上升 📈
上堂	上堂 🧑🏻‍🏫
上堂女	上堂女 👩🏻‍🏫
上堂男	上堂男 👨🏻‍🏫
上弦月	上弦月 🌓 🌛
上漲	上漲 📈
上課	上課 🧑🏻‍🏫
上課女	上課女 👩🏻‍🏫
上課男	上課男 👨🏻‍🏫
上鎖	上鎖 🔒️
下	下 ⬇️️ 👇 🔽️
下一首	下一首 ⏭️
下弦月	下弦月 🌗 🌜
下水道	下水道 🕳️
下跌	下跌 📉
下跪	下跪 🧎🏻
下跪女	下跪女 🧎🏻‍♀️
下跪男	下跪男 🧎🏻‍♂️
下載郵件	下載郵件 📩
下雨	下雨 ☂️️ ☔️️
下雪	下雪 🌨
不	不 🙅🏻
不丹	不丹 🇧🇹
不信	不信 😓
不准	不准 🚫️
不准吸煙	不准吸煙 🚭
不准看	不准看 🙈
不准聽	不准聽 🙉
不准說	不准說 🙊
不准駛入	不准駛入 ⛔️️
不可以	不可以 🙅🏻
不可以女	不可以女 🙅🏻‍♀️
不可以男	不可以男 🙅🏻‍♂️
不告訴你	不告訴你 😏 😼
不哭	不哭 🤗
不女	不女 🙅🏻‍♀️
不好	不好 🆖️️ 🙅🏻
不好吧	不好吧 😰
不好女	不好女 🙅🏻‍♀️
不好意思	不好意思 🙇🏻 🙏
不好意思女	不好意思女 🙇🏻‍♀️
不好意思男	不好意思男 🙇🏻‍♂️
不好男	不好男 🙅🏻‍♂️
不對吧	不對吧 🤨
不屑	不屑 🙄
不得	不得 🚫️
不想聽	不想聽 🙉
不懂	不懂 😵
不敢看	不敢看 🙈
不敢聽	不敢聽 🙉
不敢說	不敢說 🙊
不是吧	不是吧 🤨
不會吧	不會吧 😦
不滿	不滿 ☹️️ 😒
不爽	不爽 ☹️️ 😠 😾
不男	不男 🙅🏻‍♂️
不知道	不知道 🤷🏻
不知道女	不知道女 🤷🏻‍♀️
不知道男	不知道男 🤷🏻‍♂️
不聽	不聽 🙉
不能看	不能看 🙈
不能聽	不能聽 🙉
不能說	不能說 🙊
不行	不行 🙅🏻
不行女	不行女 🙅🏻‍♀️
不行男	不行男 🙅🏻‍♂️
不要怕	不要怕 🤗
不許看	不許看 🙈
不許聽	不許聽 🙉
不許說	不許說 🙊
不說	不說 🤐
不講	不講 🤐
不適	不適 😣
不開心	不開心 😞 🙁
不關我事	不關我事 🤷🏻
不關我事女	不關我事女 🤷🏻‍♀️
不關我事男	不關我事男 🤷🏻‍♂️
世界	世界 🌐️
丟垃圾	丟垃圾 🚮
両替	両替 💱
中午	中午 🕛
中國	中國 🇨🇳
中學	中學 🏫
中小方塊	中小方塊 ◽️️ ◾️️
中指	中指 🖕
中方塊	中方塊 ◻️️ ◼️️
中秋	中秋 🌕 🎑️
